name,email,Wybrany dnia,Lista,Okręg wyborczy,Liczba głosów,Ślubowanie,Staż parlamentarny,Klub/koło,Data i miejsce urodzenia,Wykształcenie,Ukończona szkoła,Zawód,Funkcja w klubie/kole,Tytuł/stopień naukowy,Wybrana dnia,Funkcja w Sejmie,Wygaśnięcie mandatu
Rafał Grupiński,Rafal.Grupinski@sejm.pl,13-10-2019,Koalicja Obywatelska,39  Poznań,17933,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","26-09-1952, Wronki",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Polonistyki, Historia Literatury - magister (1976)",historyk kultury,wiceprzewodniczący,,,,
Andrzej Grzyb,Andrzej.Grzyb@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,36  Kalisz,21214,12-11-2019,"poseł X kadencji, poseł II kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji","Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","23-08-1956, Siedlików",wyższe,"Uniwersytet Przyrodniczy w Poznaniu, Wydział Ogrodniczy - magister inżynier (1981)Wyższa Szkoła Bankowa w Poznaniu, bankowość (2001) - studia podyplomoweUniwersytet Ekonomiczny w Poznaniu, ekonomia - doktor (2018)",ekonomista,, doktor,,,
Andrzej Gut-Mostowy,Andrzej.Gut-Mostowy@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,14  Nowy Sącz,12437,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"30-10-1960, Zakopane",wyższe,"Uniwersytet Ekonomiczny, Ekonomia Obrotu, gospodarka turystyczna - magister (1986)Uniwersytet Ekonomiczny, gospodarka regionalna (2003) - studia doktoranckie",menadżer,,,,,
Kazimierz Gwiazdowski,Kazimierz.Gwiazdowski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,24  Białystok,14101,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"10-06-1962, Radziłów",średnie zawodowe,"Technikum Melioracji Wodnych, Melioracja - technik (1982)",parlamentarzysta,,,,,
Marcin Gwóźdź,Marcin.Gwozdz@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,2  Wałbrzych,8049,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"14-12-1977, Ząbkowice Śl.",wyższe,"Politechnika Wrocławska, Wydział Mechaniczny, mechanika i budowa maszyn - inżynier (2000)Politechnika Poznańska, Wydział Zarządzania, Zarzadzanie i inzynieria produkcji - magister (2007)Uniwersytet ekonomiczny, finanse i bankowość (2019) - studia podyplomowe",inżynier,,,,,
Riad Haidar,Riad.Haidar@sejm.pl,13-10-2019,Koalicja Obywatelska,7  Chełm,21483,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","01-08-1951, Sowieda",wyższe,"Akademia Medyczna w Lublinie, Wydział Lekarski - lekarz (1981)Uniwersytet Marii Curie-Skłodowskiej, zarządzanie projektami europejskimi (2003) - studia podyplomoweWyższa Szkoła Ekonomii i Innowacji w Lublinie, zarządzanie zakładami opieki zdrowotnej i administracja zdrowiem publicznym (2008) - studia podyplomowe",lekarz medycyny,,,,,
Teresa Hałas,Teresa.Halas@sejm.pl,,Prawo i Sprawiedliwość,7  Chełm,8622,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"13-04-1953, Krasnystaw",średnie ogólne,Liceum Ogólnokształcące w Tarnogórze (1972),parlamentarzysta,,,13-10-2019,,
Agnieszka Hanajczyk,Agnieszka.Hanajczyk@sejm.pl,,Koalicja Obywatelska,11  Sieradz,10535,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","12-01-1963, Zgierz",wyższe,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (1987)Uniwersytet Łódzki, Pomoc Społeczna (1995) - studia podyplomoweUniwersytet Łódzki, Organizacja Pomocy Społecznej (1999) - studia podyplomowe",prawnik,,,13-10-2019,,
Jerzy Hardie-Douglas,Jerzy.Hardie-Douglas@sejm.pl,13-10-2019,Koalicja Obywatelska,40  Koszalin,10280,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","01-02-1951, Łódź",wyższe,"Akademia Medyczna w Łodzi, Wydział Lekarski - lekarz (1976)specjalizacja II stopnia z chirurgii ogólnej (1980)specjalizacja II stopnia z chirurgii onkologicznej (1992)",lekarz specjalista chirurgii onkologicznej,,,,,
Iwona Hartwich,Iwona.Hartwich@sejm.pl,,Koalicja Obywatelska,5  Toruń,10865,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","06-09-1970, Rypin",zasadnicze zawodowe,"Zespół Szkół Ekonomicznych w Toruniu, sprzedawca (1988)",sprzedawca,,,13-10-2019,,
Paulina Hennig-Kloska,Paulina.Hennig-Kloska@sejm.pl,,Koalicja Obywatelska,37  Konin,16813,12-11-2019,poseł VIII kadencji,Koło Parlamentarne Polska 2050,"05-10-1977, Gniezno",wyższe,"Szkoła Wyższa im. P. Włodkowica w Płocku, Wydział Politologii, Politologia i Nauki Społeczne - licencjat (1999)Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, Politologia - magister (2001)Akademia Ekonomiczna w Poznaniu, Analiza Finansowa i Controlling (2005) - studia podyplomowe",ekonomista,,,13-10-2019,,
Czesław Hoc,Czeslaw.Hoc@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,40  Koszalin,33083,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"22-02-1954, Jelenin",wyższe,"Pomorska Akademia Medyczna, Wydział Lekarski - lekarz (1979)",lekarz medycyny,,,,,
Zbigniew Grzegorz Hoffmann,Zbigniew.Hoffmann@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,37  Konin,42859,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"05-07-1963, Poznań",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, nauki polityczne - magister (1990)",politolog,,,,,
Marek Hok,Marek.Hok@sejm.pl,13-10-2019,Koalicja Obywatelska,40  Koszalin,11572,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","15-06-1953, Koszalin",wyższe,"Pomorski Uniwersytet Medyczny, Wydział Lekarski - lekarz (1978)Szkoła Główna Handlowa w Warszawie, Zarządzanie Zakładami Opieki Zdrowotnej (2005) - studia podyplomoweWyższa Szkoła Bankowa w Poznaniu, Akademia Liderów Samorządowych (2010) - studia podyplomowe",lekarz specjalista położnictwa i ginekologii,,,,,
Marcin Horała,Marcin.Horala@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,26  Słupsk,86079,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"02-10-1981, Gdańsk",wyższe,"Uniwersytet Gdański, Wydział Nauk Społecznych, Politologia - magister (2004)Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (2006)",parlamentarzysta,,,,,
Paweł Hreniak,Pawel.Hreniak@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,3  Wrocław,15166,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"09-09-1979, Wrocław",wyższe,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, administracja publiczna - magister (2004)Uniwersytet Ekonomiczny we Wrocławiu, zarzadzanie jednostkami opieki zdrowotnej (2009) - studia podyplomoweUniwersytet Wrocławski, Wydział Prawa, Administracji i Ekonomii, ekonomia menadżerska - magister (2010)Uniwersytet Ekonomiczny we Wrocławiu, praktyka zarządzania projektami unijnymi (2011) - studia podyplomowe",ekonomista,,,,,
Arkadiusz Iwaniak,Arkadiusz.Iwaniak@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,16  Płock,15098,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","29-01-1974, Płock",wyższe,"Prywatna Wyższa Szkoła biznesi i Administracji, Wydział Zarządzania, ekonomia - magister (2001)Politechnika Krakowska, audyt energetyczny (2009) - studia podyplomowe",ekonomista,,,,,
Michał Jach,Michal.Jach@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,41  Szczecin,11881,12-11-2019,"poseł V kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"23-09-1951, Łomża",wyższe,"Wojskowa Akademia Techniczna, Wydział Elektroniki, Radiolokacja (1973)Uniwersytet Szczeciński, Wydział Ekonomii, Ekonomika i Organizacja Transportu - magister (1994)Uniwersytet Szczeciński, Wydział Ekonomii, Ekonomika i Organizacja Transportu (1994)Warszawska Szkoła Zarządzania - Szkoła Wyższa, Zarządzanie Przedsiębiorstwem (2000) - studia podyplomowe",parlamentarzysta,,,,,
Klaudia Jachira,Klaudia.Jachira@sejm.pl,,Koalicja Obywatelska,19  Warszawa,6434,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","31-05-1988, Wrocław",wyższe,"Państwowa wyższa Szkoła Teatralna w Krakowie, Wydział Lalkarski, aktorstwo - magister sztuki (2013)",aktor,,,13-10-2019,,
Wiesław Janczyk,Wieslaw.Janczyk@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,14  Nowy Sącz,16305,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"07-04-1964, Chomranice",wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Filologiczny, Filologia Polska - magister (1993)Państwowa Wyższa Szkoła Zawodowa w Nowym Sączu, Rachunkowość i zarządzanie finansami (2001) - studia podyplomowe",parlamentarzysta,,,,,
Małgorzata Janowska,Malgorzata.Janowska@sejm.pl,,Prawo i Sprawiedliwość,10  Piotrków Trybunalski,11599,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"29-01-1977, Zgorzelec",wyższe,"Wyższa Szkoła Marketingu i Biznesu w Łodzi, Zarządzanie i Marketing, bankowość - licencjat (1999)Wojskowa Akademia Medyczna w Łodzi, Zdrowie Publiczne, zarządzanie i marketing w służbie zdrowia - magister (2001)",ekonomista,,,13-10-2019,,
Maria Małgorzata Janyska,Maria.Janyska@sejm.pl,,Koalicja Obywatelska,38  Piła,30783,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","16-01-1962, Wyrzysk",wyższe,"Akademia Ekonomiczna w Poznaniu, Wydział Ekonomiki Produkcji i Obrotu, Ekonomika i Organizacja Obrotu Towarowego i Usług - magister (1985)Uniwersytet im. Adama Mickiewicza w Poznaniu, Samorząd Terytorialny (1992) - studia podyplomoweUniwersytet Ekonomiczny w Poznaniu, Rachunkowość (2009) - studia podyplomowe",ekonomistka,,,13-10-2019,,
Michał Jaros,Michal.Jaros@sejm.pl,13-10-2019,Koalicja Obywatelska,3  Wrocław,30196,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","26-01-1981, Aleksandrów Kujawski",wyższe,"Akademia Ekonomiczna we Wrocławiu, Wydział Inżynieryjno-Ekonomiczny, Zarządzanie i inżynieria produkcji - magister inżynier (2006)",parlamentarzysta,,,,,
Joanna Jaśkowiak,Joanna.Jaskowiak@sejm.pl,,Koalicja Obywatelska,39  Poznań,67822,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","06-11-1965, Poznań",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, prawnik - magister (1990)",notariusz,,,13-10-2019,,
Dariusz Joński,Dariusz.Jonski@sejm.pl,13-10-2019,Koalicja Obywatelska,11  Sieradz,11999,12-11-2019,poseł VII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","12-01-1979, Łódź",wyższe,"Politechnika Łódzka, Wydział Organizacji i Zarządzania, ekonomista - magister (2003)Uniwersytet Łódzki, Wydział Prawa i Administracji, prawa finansowego i gospodarczego (2004) - studia podyplomowe",ekonomista,,,,,
Norbert Kaczmarczyk,Norbert.Kaczmarczyk@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,15  Tarnów,12164,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"16-11-1989, Proszowice",wyższe,"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego, Wydział Prawa, Administracji i Stosunków Międzynarodowych, Politologia - Komunikacja Społeczna - magister (2013)",parlamentarzysta,,,,,
Filip Kaczyński,Filip.Kaczynski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,12  Kraków,14731,12-11-2019,poseł VII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"19-11-1987, Sucha Beskidzka",wyższe,"Wyższa Szkoła Turystyki i Ekologii w Suchej Beskidzkiej, Wydział Nauk Społecznych, politolog - licencjat (2010)",politolog,,,,,
Jarosław Kaczyński,Jaroslaw.Kaczynski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,19  Warszawa,248935,12-11-2019,"senator I kadencji, poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"18-06-1949, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji - magister (1971)Uniwersytet Warszawski, Nauki prawne - doktor (1976)",prawnik,, doktor,,,
Piotr Kaleta,Piotr.Kaleta@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,36  Kalisz,12632,12-11-2019,"senator VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"25-06-1968, Kalisz",wyższe,"Wyższa Szkoła Kadr Menadżerskich w Koninie, Wydział Administracji (2018)",parlamentarzysta,,,,,
Sebastian Kaleta,Sebastian.Kaleta@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,19  Warszawa,17459,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"29-07-1989, Siedliszczo",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, prawnik - magister (2013)",radca prawny,,,,,
Mariusz Kałużny,Mariusz.Kaluzny@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,5  Toruń,10984,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"10-08-1986, Toruń",wyższe,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Teologii - magister (2011)Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Politologii i Stosunków Międzynorodowych - magister (2015)Wyższa Szkoła Finansów i Zarządzania w Warszawie, Master of Business Administration (2018) - studia podyplomowe",politolog,,,,,
Krystian Kamiński,Krystian.Kaminski@sejm.pl,13-10-2019,Konfederacja Wolność i Niepodległość,8  Zielona Góra,14251,12-11-2019,brak,Koło Poselskie Konfederacja,"09-02-1983, Zielona Góra",wyższe,"Europa-Universitat Viadrina Frankfurt, Kulturoznawstwo - magister sztuki (2007)Uniwersytet Zielonogórski, zarządzanie ochroną informacji niejawnej (2008) - studia podyplomowe",przedsiębiorca,,,,,
Mariusz Kamiński,Mariusz.Kaminski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,19  Warszawa,19797,12-11-2019,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"25-09-1965, Sochaczew",wyższe,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1990)",historyk,,,,,
Jan Kanthak,Jan.Kanthak@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,6  Lublin,12803,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"20-09-1991, Gdańsk",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, prawnik - magister (2015)",prawnik,,,,,
Fryderyk Kapinos,Fryderyk.Kapinos@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,23  Rzeszów,18450,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"31-12-1961, Mielec",wyższe,"Akademia Rolnicza w Krakowie, Wydział Rolniczy Oddział Technologii Żywności, mgr. inż Technologii Żywności - magister inżynier (1986)",dyrektor marketingu,,,,,
Mieczysław Kasprzak,Mieczyslaw.Kasprzak@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,22  Krosno,11363,12-11-2019,"poseł II kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","30-03-1953, Jarosław",wyższe,"Akademia Rolnicza w Krakowie, Wydział Ekonomiki Produkcji i Obrotu Rolnego - magister inżynier (1978)Szkoła Główna Gosp. Wiejskiego Warszawa, kierowanie i zarządzanie (1986) - studia podyplomowePolska Akademia Nauk, prawo europejskie (1996) - studia podyplomowe",ekonomista,,,,,
Małgorzata Kidawa-Błońska,Malgorzata.Kidawa-Blonska@sejm.pl,,Koalicja Obywatelska,19  Warszawa,416030,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","05-05-1957, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii, Socjologia - magister (1983)",producent filmowy,,,13-10-2019,Wicemarszałek Sejmu od 12-11-2019,
Marcin Kierwiński,Marcin.Kierwinski@sejm.pl,13-10-2019,Koalicja Obywatelska,16  Płock,30013,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","22-08-1976, Warszawa",wyższe,"Politechnika Warszawska, Wydział Elektroniki i Technik Informacyjnych, Elektronika Biomedyczna - magister inżynier (2001)Politechnika Warszawska, Wydział Inżynierii Produkcji, Zarządzanie i Markieting - magister inżynier (2002)Instytut Organizacji i Zarządzania w Przemyśle ""ORGMASZ"", Studia Zarządzania Infrastrukturą IT (2003) - studia podyplomowe",inżynier elektronik,wiceprzewodniczący,,,,
Dariusz Klimczak,Dariusz.Klimczak@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,10  Piotrków Trybunalski,15977,12-11-2019,brak,"Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","17-06-1980, Rawa Mazowiecka",wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Historyczny, historyk - magister (2005)Uniwersytet Warszawski, Politologia (2008) - studia doktoranckie",historyk,,,,,
Joanna Kluzik-Rostkowska,Joanna.Kluzik-Rostkowska@sejm.pl,,Koalicja Obywatelska,17  Radom,19320,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","14-12-1963, Katowice",wyższe,"Uniwersytet Warszawski, Dziennikarstwo, Nauki Polityczne, Dziennikarstwo - magister (1993)",dziennikarz,,,13-10-2019,,
Lech Kołakowski,Lech.Kolakowski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,24  Białystok,16138,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"13-06-1963, Zambrów",wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Administracja - magister (1992)",poseł na Sejm RP,,,,,
Ewa Kołodziej,Ewa.Kolodziej@sejm.pl,,Koalicja Obywatelska,31  Katowice,11549,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","02-09-1978, Katowice",wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Politologia - magister (2002)",politolog,,,13-10-2019,,
Maciej Konieczny,Maciej.Konieczny@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,31  Katowice,22262,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","14-10-1980, Gliwice",wyższe,"Uniwersytet Śląski, Wydział Filologiczny, kulturoznawstwo - magister (2005)",zawodowy działacz organizacji pozarządowej,,,,,
Zbigniew Konwiński,Zbigniew.Konwinski@sejm.pl,13-10-2019,Koalicja Obywatelska,26  Słupsk,13286,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","24-03-1974, Słupsk",wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Filozoficzno-Historyczny, Historia - magister (1999)Zachodniopomorska Szkoła Biznesu, zarządzanie biznesem (2001) - studia podyplomowe",historyk,sekretarz,,,,
Przemysław Koperski,biuro.poselskie.koperski@gmail.com,13-10-2019,Sojusz Lewicy Demokratycznej,27  Bielsko-Biała,22055,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","22-11-1974, Opole",wyższe,"Uniwersytet Śląski, Wydział Prawa i Administracji, prawnik - magister (1999)Uniwersytet Śląski, wycena i gospodarka nieruchomościami (2001) - studia podyplomoweSzkoła Główna Handlowa w Warszawie, zarządzanie projektem w ramach funduszy UE (2004) - studia podyplomoweUniwersytet Ekonomiczny w Katowicach, kontrola finansowa i audyt wewnętrzny w jednostkach sektora finansów publicznych (2006) - studia podyplomowe",prawnik,,,,,
Maciej Kopiec,Maciej.Kopiec@sejm.pl,13-10-2019,Sojusz Lewicy Demokratycznej,30  Bielsko-Biała,14973,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","12-07-1990, Rydułtowy",wyższe,"Uniwersytet Ekonomiczny w Katowicach, Ekonomia, ekonomia - licencjat (2013)Uniwersytet Ekonomiczny w Katowicach, zarządzanie, zarządzanie - magister (2015)",ekonomista,,,,,
Janusz Korwin-Mikke,Janusz.Korwin-Mikke@sejm.pl,13-10-2019,Konfederacja Wolność i Niepodległość,19  Warszawa,60385,12-11-2019,poseł I kadencji,Koło Poselskie Konfederacja,"27-10-1942, Warszawa",wyższe,"Uniwersytet Warszawski, Wydział Filozofii, mgr filozofii - magister (1967)",publicysta,,,,,
Władysław Kosiniak-Kamysz,Wladyslaw.Kosiniak-Kamysz@sejm.pl,13-10-2019,Polskie Stronnictwo Ludowe,15  Tarnów,33784,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści","10-08-1981, Kraków",wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Lekarski, Lekarz - lekarz (2006)Uniwersytet Jagielloński w Krakowie, nauki medyczne - doktor (2010)",lekarz medycyny,przewodniczący, doktor,,,
Wojciech Kossakowski,Wojciech.Kossakowski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,35  Olsztyn,11257,12-11-2019,"poseł VI kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"23-04-1977, Ełk",wyższe,"Uniwersytet Warmińsko-Mazurski, Administracja, Prawo i administracja - magister (2002)Instytut Nauk Ekonomicznych PAN, Executive Master of Business Administration (2018) - studia podyplomowe",prawnik,,,,,
Tomasz Kostuś,Tomasz.Kostus@sejm.pl,13-10-2019,Koalicja Obywatelska,21  Opole,17026,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","07-03-1974, Kluczbork",wyższe,"Uniwersytet Opolski, Wydział Humanistyczno-Historyczny, Politologia i nauki społeczne - magister (1998)Wyższa Szkoła Zarządzania i Administracji w Opolu, Zarządzanie w administracji rządowej i samorządowej (2001) - studia podyplomoweAkademia Obrony Narodowej, Bezpieczeństwo narodowe (2003) - studia podyplomowe",politolog,,,,,
Andrzej Kosztowniak,Andrzej.Kosztowniak@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,17  Radom,12619,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"31-03-1976, Radom",wyższe,"Politechnika Radomska, Wydział Ekonomiczny, Ekonomia - magister (2001)Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa, Prawo - magister (2003)",ekonomista prawnik,,,,,
Katarzyna Kotula,Katarzyna.Kotula@sejm.pl,,Sojusz Lewicy Demokratycznej,41  Szczecin,7557,12-11-2019,brak,"Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)","01-02-1977, Gryfino",wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Anglistyki, filologia angielska - magister (2016)",filolog angielski,,,13-10-2019,,
Paweł Kowal,Pawel.Kowal@sejm.pl,13-10-2019,Koalicja Obywatelska,13  Kraków,76720,12-11-2019,"poseł V kadencji, poseł VI kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","22-07-1975, Rzeszów",wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Historyczny, historia - magister (1999)Instytut Studiów Politycznych PAN, nauki polityczne - doktor (2011)Instytut Studiów Politycznych PAN, nauki społeczne - doktor habilitowany (2019)",nauczyciel akademicki,,profesor doktor habilitowany (2019),,,
Henryk Kowalczyk,Henryk.Kowalczyk@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,18  Siedlce,50680,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"15-07-1956, Żabianka",wyższe,"Uniwersytet Warszawski, Wydział Matematyki, Matematyka - magister (1979)",parlamentarzysta,,,,,
Janusz Kowalski,Janusz.Kowalski@sejm.pl,13-10-2019,Prawo i Sprawiedliwość,21  Opole,20973,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"11-04-1978, Opole",wyższe,"Uniwersytet Łódzki, Wydział Prawa i Administracji, administracja - magister (2004)Uniwersytet Łódzki, Wydział Prawa i Administracji, prawo - magister (2008)Uniwersytet Warszawski, Wydział Prawa i Administracji, prawo spółek (2011) - studia podyplomowe",prawnik,,,,,
